Fiche usage associé,IDENTIFIANT USAGE,Territoire,Nom du service,Description du service,Lien du service
Se connecter à internet et gérer ses forfaits mobiles,c48ef9bd-6fe5-454f-ba3e-2ef5f37a90bc,National,Carte Fibre,Est-ce que mon logement est relié à la fibre ou bien quand le sera-t-t-il ? La carte de l'ARCEP est la carte officielle de déploiement en France.,https://cartefibre.arcep.fr/index.html?lng=2.3&lat=46&zoom=6.5&mode=normal&legende=true&filter=true&trimestre=2022T4
Produire des contenus numériques et les diffuser.,ff37dd2b-c376-4d3b-ab6d-0c96beac89da,National,Creative Commons,"Gérer de façon précise ce que les internautes ont le droit de faire avec vos données (modification, distribution, commerce, etc.) avec une licence et des icônes simples.",https://creativecommons.org/licenses/?lang=fr-FR
"Communiquer et garder contact avec les réseaux (Facebook, email, blogging)",a71169bc-4d7e-4fba-90e6-79933d7ce500,National,ik.me,"Développée et hébergée à 100% en Suisse, votre adresse mail gratuite est l'assurance d'une messagerie sans publicité qui respecte votre sphère privée",https://www.infomaniak.com/fr/email-gratuit
Organiser son travail et gérer son entreprise,50a0537d-1ba0-4821-8f26-f3f231e194d8,National,Notion,"Notion est une application de prise de notes, de bases de données, des tableaux Kanban, de wikis, de calendriers et de rappels.",https://www.notion.so/
Travailler de chez soi (Télétravailler et faire une visioconférence),020f19a0-21fb-4cd4-a86a-ab2a6dea8dcf,National,Gather ," Gather.town permet de créer des espaces virtuels interactifs pour organiser des événements, des réunions et des collaborations en ligne. Avec Gather.town, vous pouvez interagir avec d'autres participants à travers des avatars, explorer des salles personnalisables et engager des conversations vidéo en temps réel, offrant ainsi une expérience immersive et conviviale",https://www.gather.town/
La scolarité / éducation,54cce711-5dee-46b7-a316-9739f256d9f5,National,ENT,,
héberger (migrant / touriste / couchsurfing / airbnb / etc.),6bde136d-4b47-434d-bc57-f936175ec00b,National,Les oiseaux de passage,"Une plateforme coopérative qui privilégie l’échange et la rencontre entre habitants, professionnels et voyageurs, d‘humain à humain. Le tout sans intrusion publicitaire, ni profilage.",https://lesoiseauxdepassage.coop/search?type=accomodation
Traduire un document ou apprendre une langue,6bb0c378-2565-4cfa-b60e-11f8da651cf1,National,Deepl,"Plus performant et plus pertinent que tous les autres outils de traduction en ligne, Deepl est la référence sur Internet !",https://www.deepl.com/translator
"Apprendre en s’amusant avec un podcast, un tutoriel, etc.",8f3a0a6e-e951-4e75-ab18-25e35f7220ab,National,Culture Quiz,"La chaîne youtube des Quiz de Culture Générale. Toutes les semaines de nouveaux quiz pour tester vos connaissances sur les animaux, la géographie, le cinéma, l'histoire, les sciences, et bien plus encore... ",https://www.youtube.com/@CultureQuizz
Faire des démarches administratives et accéder à ses droits,863a9653-4bd2-4242-8daa-bd6b214318d2,National,Mes droits sociaux,"Sur un seul site, simulez vos droits sociaux auprès de plus d'une dizaines de services publics (CAF, Assurance Maladie, CARSAT, etc.). Vous pouvez aussi suivre vos ressources sur les 12 derniers mois.",https://www.google.com/search?client=safari&rls=en&q=mes+droits+sociaux&ie=UTF-8&oe=UTF-8
Faire des démarches administratives et accéder à ses droits,863a9653-4bd2-4242-8daa-bd6b214318d2,National,refugié.info ,"Service numérisé de l'Etat pour diffuser les informations relatives aux primo-arrivants ou acteurs de la solidarité (dans plusiseurs langues), sur l'ensemble des thématiques de la vie pratique (accès aux droits, logement, formation, culture..)",https://refugies.info/fr
"Organiser, classer, archiver ces données (Drive / Calendrier / todo list / etc.)",c806b8db-84b3-44aa-ba62-eca330728d64,National,Cozy Cloud,"Factures, mots de passe, photos ou informations personnelles, réunissez vos données dans le domicile numérique Cozy. Un service français.",https://cozy.io/fr/
"Gérer son argent (compte en ligne, impôts)",503c427f-0b9a-4a7e-94c3-6daf2caa41e0,National,Tarifs bancaires,Le gouvernement liste tous les tarifs bancaires en France pour plus de transparence et de choix.,https://www.tarifs-bancaires.gouv.fr
